No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
37,WNC,38.303313,127.266961,4240889.815,348467.2515,3,1,F
38,WNC,38.297459,127.266577,4240240.838,348421.4951,4,2,F
39,WNC,38.298047,127.270651,4240299.36,348778.9712,4,2,F
40,WNC,38.289558,127.267173,4239363.121,348457.1145,3,1,F
41,WNC,38.293466,127.267528,4239796.215,348496.3578,3,1,F
42,WNC,38.294881,127.27016,4239948.87,348729.4079,3,1,F
43,WNC,38.291786,127.274256,4239598.775,349081.2357,3,1,F
44,WNC,38.287197,127.271867,4239093.351,348862.8099,3,1,F
45,WNC,38.292331,127.264841,4239674.673,348258.9269,4,2,F
46,WNC,38.293481,127.270254,4239793.377,348734.7233,4,2,F
47,WNC,38.285683,127.278942,4238913.872,349478.4912,4,2,F
48,WNC,38.28587,127.269425,4238950.088,348646.4532,2,0,F
49,WNC,38.295648,127.267097,4240039.032,348463.1459,2,0,F
50,WNC,38.290201,127.27571,4239420.486,349205.0996,1,0,N
51,WNC,38.288752,127.276905,4239257.755,349306.676,8,2,N
52,WNC,38.281179,127.201671,4238542.714,342710.2496,4,2,F
53,WNC,38.264673,127.202169,4236710.192,342718.1279,2,0,F
54,WNC,38.279771,127.210531,4238371.39,343482.203,2,0,F
55,WNC,38.268083,127.200303,4237091.76,342562.2989,2,0,F
56,WNC,38.268505,127.20021,4237138.748,342555.003,3,1,F
57,WNC,38.282295,127.202366,4238665.39,342773.4142,3,1,F
58,WNC,38.272879,127.20245,4237620.284,342760.4401,2,0,F
59,WNC,38.263535,127.201049,4236585.794,342617.6942,3,1,F
60,WNC,38.273878,127.203479,4237729.451,342852.611,3,1,F
61,WNC,38.283711,127.218752,4238794.71,344209.6694,3,1,F
62,WNC,38.275953,127.217046,4237936.673,344043.9087,3,1,F
63,WNC,38.276933,127.215657,4238047.744,343924.4923,3,1,F
64,WNC,38.274121,127.213192,4237739.965,343702.8691,3,1,F
65,WNC,38.270948,127.210485,4237392.378,343459.2102,3,1,F
66,WNC,38.270303,127.210489,4237320.854,343458.2002,4,2,F
67,WNC,38.267716,127.209035,4237036.154,343325.4092,4,2,F
68,WNC,38.272336,127.203256,4237558.654,342829.803,4,2,F
69,WNC,38.270673,127.216343,4237351.998,343971.1256,2,0,F
70,WNC,38.272056,127.217082,4237504.139,344038.6651,2,0,F
71,WNC,38.278138,127.215465,4238181.796,343910.2744,2,0,F
72,WNC,38.277759,127.215714,4238139.408,343931.2479,2,0,F
73,WNC,38.278976,127.215724,4238274.435,343934.757,2,0,F
74,WNC,38.280361,127.217228,4238425.516,344069.265,2,1,F
75,WNC,38.283363,127.217966,4238757.439,344140.211,4,0,N
76,WNC,38.287873,127.212721,4239266.762,343691.0834,2,0,F
77,WNC,38.295955,127.222007,4240147.981,344520.5143,3,1,F
78,WNC,38.288874,127.208935,4239384.232,343362.0973,9,0,N
